"Event","FrameOffset","Value","SourceCategory","SourceReference"
"000312","0x057","16","recorder RX","RX 01 02 payload 0x52"
"000312","0x058","96","recorder RX","RX 01 02 payload 0x53"
"000312","0x059","00","recorder RX","RX 01 02 payload 0x54"
"000312","0x05A","00","recorder RX","RX 01 02 payload 0x55"
"000312","0x05B","00","recorder RX","RX 01 02 payload 0x56"
"000312","0x05C","00","recorder RX","RX 01 02 payload 0x57"
"000312","0x05D","04","recorder RX","RX 01 02 payload 0x58"
"000312","0x05E","42","recorder RX","RX 01 02 payload 0x59"
"000312","0x05F","12","recorder RX","RX 01 02 payload 0x5A"
"000312","0x060","00","recorder RX","RX 01 02 payload 0x5B"
"000312","0x061","00","recorder RX","RX 01 02 payload 0x5C"
"000312","0x062","00","recorder RX","RX 01 02 payload 0x5D"
"000312","0x063","00","recorder RX","RX 01 02 payload 0x5E"
"000312","0x064","00","recorder RX","RX 01 02 payload 0x5F"
"000312","0x065","00","recorder RX","RX 01 02 payload 0x60"
"000312","0x066","00","recorder RX","RX 01 02 payload 0x61"
"000312","0x067","00","recorder RX","RX 01 02 payload 0x62"
"000312","0x068","00","recorder RX","RX 01 02 payload 0x63"
"000312","0x069","00","recorder RX","RX 01 02 payload 0x64"
"000312","0x06A","00","recorder RX","RX 01 02 payload 0x65"
"000312","0x06B","00","recorder RX","RX 01 02 payload 0x66"
"000312","0x06C","00","recorder RX","RX 01 02 payload 0x67"
"000312","0x06D","00","recorder RX","RX 01 02 payload 0x68"
"000312","0x06E","00","recorder RX","RX 01 02 payload 0x69"
"000312","0x06F","00","recorder RX","RX 01 02 payload 0x6A"
"000312","0x070","00","recorder RX","RX 01 02 payload 0x6B"
"000312","0x071","00","recorder RX","RX 01 02 payload 0x6C"
"000312","0x072","00","recorder RX","RX 01 02 payload 0x6D"
"000312","0x073","00","recorder RX","RX 01 02 payload 0x6E"
"000312","0x074","00","recorder RX","RX 01 02 payload 0x6F"
"000312","0x075","00","recorder RX","RX 01 02 payload 0x70"
"000312","0x076","00","recorder RX","RX 01 02 payload 0x71"
"000312","0x077","00","recorder RX","RX 01 02 payload 0x72"
"000312","0x078","00","recorder RX","RX 01 02 payload 0x73"
"000312","0x079","00","recorder RX","RX 01 02 payload 0x74"
"000312","0x07A","00","recorder RX","RX 01 02 payload 0x75"
"000312","0x07B","00","recorder RX","RX 01 02 payload 0x76"
"000312","0x07C","00","recorder RX","RX 01 02 payload 0x77"
"000312","0x07D","00","recorder RX","RX 01 02 payload 0x78"
"000312","0x07E","00","recorder RX","RX 01 02 payload 0x79"
